字段,数据类型,缺失数量,缺失比例(%),唯一值数量
Churn,int64,0,0.0,2
PreferredLoginDevice,string,0,0.0,2
Gender,object,0,0.0,2
Complain,int64,0,0.0,2
IsMobileLogin,int64,0,0.0,2
CityTier,int64,0,0.0,3
MaritalStatus,object,0,0.0,3
PreferredPaymentMode,string,0,0.0,5
PreferedOrderCat,string,0,0.0,5
SatisfactionScore,int64,0,0.0,5
TenureGroup,category,0,0.0,5
HourSpendOnApp,float64,0,0.0,6
NumberOfDeviceRegistered,int64,0,0.0,6
NumberOfAddress,int64,0,0.0,15
OrderAmountHikeFromlastYear,float64,0,0.0,16
OrderCount,float64,0,0.0,16
CouponUsed,float64,0,0.0,17
DaySinceLastOrder,float64,0,0.0,22
WarehouseToHome,float64,0,0.0,34
Tenure,float64,0,0.0,36
CashbackAmount,float64,0,0.0,2586
CustomerID,int64,0,0.0,5630
